Region, CO2 total output emission rate (lb/MWh) by state 2020, Year
US,818.289,2020
ALABAMA,717.845,2020
ALASKA,960.666,2020
ARIZONA,734.193,2020
ARKANSAS,946.006,2020
CALIFORNIA,451.514,2020
COLORADO,1212.208,2020
CONNECTICUT,526.669,2020
DELAWARE,753.581,2020
DISTRICT OF COLUMBIA,800.12,2020
FLORIDA,839.01,2020
GEORGIA,719.767,2020
HAWAII,1515.223,2020
IDAHO,212.839,2020
ILLINOIS,553.201,2020
INDIANA,1539.922,2020
IOWA,611.107,2020
KANSAS,798.274,2020
KENTUCKY,1672.575,2020
LOUISIANA,759.829,2020
MAINE,219.397,2020
MARYLAND,642.24,2020
MASSACHUSETTS,871.213,2020
MICHIGAN,932.481,2020
MINNESOTA,765.049,2020
MISSISSIPPI,891.849,2020
MISSOURI,1606.145,2020
MONTANA,905.729,2020
NEBRASKA,1191.645,2020
NEVADA,715.099,2020
NEW HAMPSHIRE,244.114,2020
NEW JERSEY,490.089,2020
NEW MEXICO,1252.806,2020
NEW YORK,414.956,2020
NORTH CAROLINA,644.846,2020
NORTH DAKOTA,1377.549,2020
OHIO,1246.46,2020
OKLAHOMA,706.728,2020
OREGON,340.365,2020
PENNSYLVANIA,694.635,2020
PUERTO RICO,1602.184,2020
RHODE ISLAND,826.707,2020
SOUTH CAROLINA,510.912,2020
SOUTH DAKOTA,338.602,2020
TENNESSEE,568.143,2020
TEXAS,853.981,2020
UTAH,1554.915,2020
VERMONT,22.915,2020
VIRGINIA,642.487,2020
WASHINGTON,211.924,2020
WEST VIRGINIA,1909.665,2020
WISCONSIN,1184.878,2020
WYOMING,1975.623,2020
